EREQ_CODE,EREQ_DESCRIPTION,EREQ_LEVEL,EREQ_PARENT_EQUIPMENT,EREQ_SYSTEM_EQUIPMENT,EREQ_CREATION_DATE,EREQ_EQUIPMENT_STATUS,EREQ_CATEGORY,EREQ_ENTITY,EREQ_ZONE,EREQ_COSTCENTRE
B3513R0950-F001,REDUCTEUR,3,B3623R5803-F001,B6252T0016,2017-10-22,NORMAL,B3602,UFC,UFC-LU,CO2-D-UFCHAUX
BCH04-ARMELE-06,ARMOIRE ELECTRIQUE CONVOYEURS MECANIQUES,2,B7759T0004,B7759T0004,2008-04-19,NORMAL,ARMELE,BCH,BCH04,HUILE-D-CDH
BCH04-CONMEC-03,TABLE D'ACCUMULATION,2,B7759T0004,B7759T0004,2008-04-19,NORMAL,CONMEC,BCH,BCH04,HUILE-D-CDH
BCH04-CONMEC-04,CONVOYEURS A CHAINES,2,B7759T0004,B7759T0004,2008-04-19,NORMAL,CONMEC,BCH,BCH04,HUILE-D-CDH
BCH04-SYSLUB-02,SYSTEME DE LUBRIFICATION CONVOYEURS MECANIQUES,2,B7759T0004,B7759T0004,2008-04-19,NORMAL,SYSLUB,BCH,BCH04,HUILE-D-CDH
B7770R0001-119,CONVOYEUR SORTIE FD140-709 L2 ,2,B7770T0001,B7770T0001,2017-10-23,,B7762,BMA,BMA-A12,CGS-D-MARG
BCH04-ARMELE-07,ARMOIRE ELECTRIQUE PALETTISEUR,2,B7284T0004,B7284T0004,2008-04-19,NORMAL,ARMELE,BCH,BCH04,HUILE-D-CDH
BCH04-AUTOMA-03,AUTOMATE PROGRAMMABLE PALETTISEUR,3,BCH04-ARMELE-07,B7284T0004,2008-04-19,NORMAL,AUTOMA,BCH,BCH04,HUILE-D-CDH
BCH03-ARMELE-05,ARMOIRE ELECTRIQUE ETIQUETTEUSE,2,B7252T0003,B7252T0003,2007-07-17,NORMAL,ARMELE,BCH,BCH03,HUILE-D-CDH
BCH03-GRMPMP-01,GROUPE MOTO-POMPE LIGNE 2L,2,B7212T0003,B7212T0003,2007-07-17,NORMAL,GRMPMP,BCH,BCH03,HUILE-D-CDH
