WOWO_SYSTEM_EQUIPMENT,WOWO_EQUIPMENT_DESCRIPTION,WOWO_DECLARATION_DATE,WOWO_END_DATE,WOWO_CREATION_DATE,WOWO_JOB_TYPE,WOWO_EQUIPMENT_LEVEL,WOWO_EQUIPMENT,maintenance_parent_code,maintenance_parent_level,WOWO_JOB_CLASS,WOWO_TOTAL_COST,source,label_quality,WOWO_ACTION_ENTITY
B6220T0002,VMC  B(SDA),2023-01-01,2023-06-01,2023-01-01,PREV,3,B6220T0002-S020,B6220T0002-S007,2.0,PREVEN,136035.1248332832,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0003-S003,BROYAGE MOUTARDE,2023-01-01,2023-06-01,2023-01-01,PREV,1,B6225T0003-S003,,,PREVEN,411115.6337249547,2023_PREVENTIF,HIGH,ELKS_UAP2
B6315T0003,HOMOGENEISATEUR 2,2023-01-01,,2023-01-02,PREV,2,B6315T0003-S001,B6315T0003,1.0,MECA,60881.14218921348,2023_PREVENTIF,HIGH,ELKS_UAP2
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,2023-01-01,2023-01-01,2023-01-01,CORR,3,B7214T0007-TRANSF-TP,B7214T0007-TRANSF,2.0,MECA,382.4166666666667,2023_CORRECTIF,HIGH,LLK
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,2023-01-01,2023-01-01,2023-01-01,CORR,3,B7214T0007-FOURIR-CT,B7214T0007-FOURIR,2.0,MECA,144.0,2023_CORRECTIF,HIGH,LLK
B7214T8001,SOUFFLEUSE SBO 20 5767,2023-01-01,2023-06-01,2023-01-01,PREV,1,B7214T8001,,,PREVEN,425326.0698433505,2023_PREVENTIF,HIGH,ELKS_UAP1
B8638T0038,Refroidisseurs CTA 1/2 TRANE-FIORINI,2023-01-01,2023-01-01,2023-01-02,CORR,2,B8638T0038-CIREAU,B8638T0038,1.0,ELEC,137.4,2023_CORRECTIF,HIGH,LLK
LLK-AC-2350B,Compresseur 40 bars TEMPO 2350 B,2023-01-01,2023-01-01,2023-01-02,CORR,2,LLK-AC-2350B-ETACOM,LLK-AC-2350B,1.0,MECA,1160.5,2023_CORRECTIF,HIGH,LLK
B7210T8004,LAVEUSE BOUTEILLES(SDA),2023-01-02,2023-06-01,2023-01-02,CORR,1,B7210T8004,,,PREVEN,272.4671267386583,2023_CORRECTIF,HIGH,ELKS_UAP1
B7252T0021,ETIQUETEUSE OPERA 300 SACMI,2023-01-02,2023-04-08,2023-01-03,CORR,2,B7252T0021-GRETIQ,B7252T0021,1.0,PREVEN,191215.5484167374,2023_CORRECTIF,HIGH,LLK
B7270T0200,SLEEVEUSE,2023-01-02,2023-06-01,2023-01-02,PREV,1,B7270T0200,,,PREVEN,310.309160464422,2023_PREVENTIF,HIGH,ELKS_UAP2
B8654T0011,Armoire Climatisation CIAT 01,2023-01-02,2023-01-03,2023-01-05,CORR,1,B8654T0011,,,MECA,205020.24825899646,2023_CORRECTIF,HIGH,LLK
B9719T2000,ELECTRICITE,2023-01-02,,2023-01-02,PREV,1,B9719T2000,,,ELEC,3276.2079204014203,2023_PREVENTIF,HIGH,BS1
LLK-AC-2350A,Compresseur 40 bars TEMPO 2350 A,2023-01-02,2023-01-02,2023-01-03,CORR,2,LLK-AC-2350A-ETACOM,LLK-AC-2350A,1.0,MECA,343.5,2023_CORRECTIF,HIGH,LLK
B3669T0023,COMPRESSEUR 7 BAR N°2,2023-01-03,2023-06-01,2023-01-03,PREV,1,B3669T0023,,,PREVEN,43056.06321315829,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3972E5099-J01,POSTE MT-BT1,2023-01-03,2023-06-01,2023-01-03,CORR,2,B3971T0052,B3972E5099-J01,1.0,PREVEN,39901.22015767035,2023_CORRECTIF,HIGH,ELKS_DM_UT
B7214T0008,SOUFFLEUSE SBO 20 SIDEL,2023-01-03,2023-01-03,2023-01-03,CORR,4,B7214T0008-RS-PS-04,B7214T0008-RS-PS,3.0,MECA,0.0,2023_CORRECTIF,HIGH,LLK
B7214T0008,SOUFFLEUSE SBO 20 SIDEL,2023-01-03,2023-04-08,2023-01-03,CORR,4,B7214T0008-RS-PS-14,B7214T0008-RS-PS,3.0,PREVEN,0.0,2023_CORRECTIF,HIGH,LLK
B7214T0013,SOUFFLEUSE,2023-01-03,2023-06-01,2023-01-03,CORR,1,B7214T0013,,,PREVEN,899.2942696068839,2023_CORRECTIF,HIGH,ELKS_UAP2
B7214T0013,SOUFFLEUSE,2023-01-03,2023-06-01,2023-01-03,CORR,1,B7214T0013,,,PREVEN,325.3166937,2023_CORRECTIF,HIGH,ELKS_UAP2
B7217T0002,SOUTIREUSE,2023-01-03,2023-06-01,2023-01-08,CORR,1,B7217T0002,,,PREVEN,332.43973923333334,2023_CORRECTIF,HIGH,ELKS_UAP2
B7220T8001,MONOBLOC,2023-01-03,2023-06-01,2023-01-03,CORR,1,B7220T8001,,,PREVEN,1679.383973925,2023_CORRECTIF,HIGH,ELKS_UAP1
B7222T8003,ROBOT DE CONDIT - ENCAISSEUSE -,2023-01-03,2023-06-01,2023-01-05,CORR,1,B7222T8003,,,PREVEN,250.907907,2023_CORRECTIF,HIGH,ELKS_UAP1
B7252T0021,ETIQUETEUSE OPERA 300 SACMI,2023-01-03,2023-04-08,2023-01-04,CORR,3,B7252T0021-GRETIQ-HM,B7252T0021-GRETIQ,2.0,PREVEN,87.78333333333333,2023_CORRECTIF,HIGH,LLK
B8638T0056,GROUPE DE PRODUCTION EAU GLACE N°2,2023-01-03,2023-11-12,2023-02-19,CORR,1,B8638T0056,,,PREVEN,539.4501817,2023_CORRECTIF,HIGH,ELKS_DM_UT
ELKS_UAP1-N-BS-PR,Nouvelle siroperie,2023-01-03,2023-06-01,2023-01-03,CORR,1,ELKS_UAP1-N-BS-PR,,,PREVEN,11760.221110576502,2023_CORRECTIF,HIGH,ELKS_UAP1
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,2023-01-04,2023-04-08,2023-01-04,CORR,4,B7214T0007-RS-PS-20,B7214T0007-RS-PS,3.0,PREVEN,0.0,2023_CORRECTIF,HIGH,LLK
B7214T0013,SOUFFLEUSE,2023-01-04,2023-06-01,2023-01-08,CORR,3,B7214T0013-S167,B7214T0013-S004,2.0,PREVEN,280.34,2023_CORRECTIF,HIGH,ELKS_UAP2
B7214T8001,SOUFFLEUSE SBO 20 5767,2023-01-04,2023-06-01,2023-01-05,CORR,1,B7214T8001,,,PREVEN,1067.5783333333334,2023_CORRECTIF,HIGH,ELKS_UAP1
B7214T8001,SOUFFLEUSE SBO 20 5767,2023-01-04,2023-06-01,2023-01-05,CORR,1,B7214T8001,,,PREVEN,419.472907,2023_CORRECTIF,HIGH,ELKS_UAP1
B7216T8002,REMPLISSEUSE SF SELECT 140/15C,2023-01-04,2023-06-01,2023-01-05,CORR,1,B7216T8002,,,PREVEN,250.907907,2023_CORRECTIF,HIGH,ELKS_UAP1
B7220T8001,MONOBLOC,2023-01-04,2023-06-01,2023-01-04,CORR,1,B7220T8001,,,PREVEN,116.80833333333334,2023_CORRECTIF,HIGH,ELKS_UAP1
B7228T0076,LIGNE DE PREPARATION JUS,2023-01-04,2023-06-01,2023-01-05,CORR,2,B7101T0158,B7228T0076,1.0,PREVEN,687.06529,2023_CORRECTIF,HIGH,ELKS_UAP1
B7252T8005,ETIQUETEUSE SACMI OPERA 300,2023-01-04,2023-06-01,2023-01-05,CORR,1,B7252T8005,,,PREVEN,2414.3047945,2023_CORRECTIF,HIGH,ELKS_UAP1
B7272T8000,FARDELEUSE TSM 4 SDI,2023-01-04,2023-06-01,2023-01-04,CORR,1,B7272T8000,,,PREVEN,9875.241795416667,2023_CORRECTIF,HIGH,ELKS_UAP1
B7752T0112,TRANSPORTEUR A BANDE        TB21A,2023-01-04,,2023-01-04,CORR,1,B7752T0112,,,MECA,42693.78817792869,2023_CORRECTIF,HIGH,BSL
B3602R5006-J02,GROUPE ELECTROPOMPE,2023-01-05,2023-06-01,2023-01-05,PREV,2,B3602T8005,B3602R5006-J02,1.0,PREVEN,340090.3463405063,2023_PREVENTIF,HIGH,ELKS_DM_UT
B7210T8004,LAVEUSE BOUTEILLES(SDA),2023-01-05,2023-06-01,2023-01-05,CORR,1,B7210T8004,,,PREVEN,792.3530145680689,2023_CORRECTIF,HIGH,ELKS_UAP1
B7216T8002,REMPLISSEUSE SF SELECT 140/15C,2023-01-05,2023-06-01,2023-01-06,CORR,1,B7216T8002,,,PREVEN,241.43047945,2023_CORRECTIF,HIGH,ELKS_UAP1
B7220T8001,MONOBLOC,2023-01-05,2023-06-01,2023-01-05,CORR,1,B7220T8001,,,PREVEN,838.945814,2023_CORRECTIF,HIGH,ELKS_UAP1
B7222T8003,ROBOT DE CONDIT - ENCAISSEUSE -,2023-01-05,2023-06-01,2023-01-05,CORR,1,B7222T8003,,,PREVEN,163.53166666666667,2023_CORRECTIF,HIGH,ELKS_UAP1
B7252T0021,ETIQUETEUSE OPERA 300 SACMI,2023-01-05,2023-04-08,2023-01-16,CORR,3,B7252T0021-GRETIQ-HM,B7252T0021-GRETIQ,2.0,PREVEN,125.95,2023_CORRECTIF,HIGH,LLK
B7272T8000,FARDELEUSE TSM 4 SDI,2023-01-05,2023-06-01,2023-01-05,CORR,1,B7272T8000,,,PREVEN,1398.2430233333334,2023_CORRECTIF,HIGH,ELKS_UAP1
B7290T8001,HOUSSEUSE COMBI PAL 2000,2023-01-05,2023-06-01,2023-01-06,CORR,1,B7290T8001,,,PREVEN,5908.83242208933,2023_CORRECTIF,HIGH,ELKS_UAP1
B7759T8004,CONVOYEURS,2023-01-05,2023-06-01,2023-01-05,CORR,1,B7759T8004,,,PREVEN,59953.40446852381,2023_CORRECTIF,HIGH,ELKS_UAP1
B8654T0010,Armoire Climatisation CIAT 02,2023-01-05,2023-01-05,2023-01-05,CORR,1,B8654T0010,,,MECA,13866.876667391518,2023_CORRECTIF,HIGH,LLK
B9305T0001,BATIMENT,2023-01-05,2023-04-08,2023-01-05,CORR,1,B9305T0001,,,PREVEN,288.28333333333336,2023_CORRECTIF,HIGH,LLK
B3970T0269,ARMOIRE DE COMMANDE,2023-01-08,2023-04-08,2023-01-08,PREV,1,B3970T0269,,,PREVEN,529.5,2023_PREVENTIF,HIGH,LLK
B3970T0269,ARMOIRE DE COMMANDE,2023-01-08,2023-04-08,2023-01-08,PREV,1,B3970T0269,,,PREVEN,176.5,2023_PREVENTIF,HIGH,LLK
B3972E5099-J03,POSTE MT-BT3,2023-01-08,2023-06-01,2023-01-08,CORR,2,B3971T0051,B3972E5099-J03,1.0,PREVEN,6333.606761799635,2023_CORRECTIF,HIGH,ELKS_DM_UT
B6225T0003-S006,TAMISEUR(SDA),2023-01-08,2023-06-01,2023-01-08,PREV,1,B6225T0003-S006,,,PREVEN,1311236.710669911,2023_PREVENTIF,HIGH,ELKS_UAP2
B6538T0005,FILTRATION FINALE WT,2023-01-08,2023-04-08,2023-01-08,PREV,1,B6538T0005,,,PREVEN,176.5,2023_PREVENTIF,HIGH,LLK
B6538T0005,FILTRATION FINALE WT,2023-01-08,2023-04-08,2023-01-08,PREV,1,B6538T0005,,,PREVEN,353.0,2023_PREVENTIF,HIGH,LLK
B6538T0006,PREFILTRATION WT,2023-01-08,2023-04-08,2023-01-08,PREV,1,B6538T0006,,,PREVEN,353.0,2023_PREVENTIF,HIGH,LLK
B6538T0006,PREFILTRATION WT,2023-01-08,2023-04-08,2023-01-08,PREV,1,B6538T0006,,,PREVEN,441.25,2023_PREVENTIF,HIGH,LLK
B6538T0007,STATION NEP WT,2023-01-08,2023-04-08,2023-01-08,PREV,1,B6538T0007,,,PREVEN,176.5,2023_PREVENTIF,HIGH,LLK
B6538T0007,STATION NEP WT,2023-01-08,2023-04-08,2023-01-08,PREV,1,B6538T0007,,,PREVEN,264.75,2023_PREVENTIF,HIGH,LLK
B7103T0070,STOCKAGE WT,2023-01-08,2023-04-08,2023-01-08,PREV,1,B7103T0070,,,PREVEN,176.5,2023_PREVENTIF,HIGH,LLK
B7103T0070,STOCKAGE WT,2023-01-08,2023-04-08,2023-01-08,PREV,1,B7103T0070,,,PREVEN,353.0,2023_PREVENTIF,HIGH,LLK
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,2023-01-08,2023-04-08,2023-01-16,CORR,3,B7214T0007-RS-FR,B7214T0007-RS,2.0,PREVEN,0.0,2023_CORRECTIF,HIGH,LLK
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,2023-01-08,2023-04-08,2023-01-08,PREV,2,B7214T0007-TRANSF,B7214T0007,1.0,PREVEN,529.5,2023_PREVENTIF,HIGH,LLK
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,2023-01-08,2023-04-08,2023-01-08,PREV,2,B7214T0007-RS,B7214T0007,1.0,PREVEN,1170.7833333333333,2023_PREVENTIF,HIGH,LLK
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,2023-01-08,2023-04-08,2023-01-08,PREV,2,B7214T0007-FOURIR,B7214T0007,1.0,PREVEN,323.5833333333333,2023_PREVENTIF,HIGH,LLK
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,2023-01-08,2023-04-08,2023-01-08,PREV,1,B7214T0007,,,PREVEN,617.75,2023_PREVENTIF,HIGH,LLK
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,2023-01-08,2023-04-08,2023-01-08,PREV,2,B7214T0007-ALPREF,B7214T0007,1.0,PREVEN,432.0,2023_PREVENTIF,HIGH,LLK
