code_stock,designation,nb_composantes_liees,quantite,seuil_alerte,unite,emplacement,description
MO-EL-001,MOTEUR ELECTRIQUE,469,0,2,pcs,,
VA-TO-001,VANNE TOR,222,0,2,pcs,,
PO-GN-001,POMPE NUE,214,0,2,pcs,,
VA-PN-001,VANNE PNEUMATIQUE NC,209,0,2,pcs,,
MO-GN-001,MOTEUR,146,0,2,pcs,,
VA-MA-001,VANNE MANUELLE,114,0,2,pcs,,
CP-GN-001,CAPTEURS ET DETECTEURS,108,0,2,pcs,,
EL-GN-001,COMPOSANTS ELECTRIQUE,93,0,2,pcs,,
IN-IS-001,INSTRUMENTATION,86,0,2,pcs,,
VA-EV-001,ELECTROVANNE,71,0,2,pcs,,
AU-GN-001,AUTOMATE,64,0,2,pcs,,
VA-RE-001,VANNE REGULATRICE,62,0,2,pcs,,
GN-SC-001,SECTION MOTEUR,56,0,2,pcs,,
MO-VE-001,MOTEUR VENTILATEUR,52,0,2,pcs,,
IN-PR-001,INDICATEUR DE PRESSION,51,0,2,pcs,,
AU-PR-001,AUTOMATE PROGRAMMABLE,51,0,2,pcs,,
MO-MR-001,MOTOREDUCTEUR,46,0,2,pcs,,
RE-GN-001,REDUCTEUR,45,0,2,pcs,,
PO-CE-001,POMPE CENTRIFUGE,44,0,2,pcs,,
GN-SC-002,SECTION POMPE,42,0,2,pcs,,
CL-GN-001,CLIMATISATION,40,0,2,pcs,,
TR-TE-001,TRANSMETTEUR DE TEMPERATURE,34,0,2,pcs,,
TR-PR-001,TRANSMETTEUR DE PRESSION,33,0,2,pcs,,
VA-PA-001,VANNE A PAPILLON INOX + ACT. PNEU. SE,33,0,2,pcs,,
GR-DI-001,GROUPE DISTRIBUTEUR HYDRAULIQUE,33,0,2,pcs,,
HY-FL-001,FLEXIBLE HYDRAULIQUE,33,0,2,pcs,,
CL-GN-002,CLIMATISEUR ARMOIRE ELECTRIQUE,33,0,2,pcs,,
GN-AC-001,ACCESSOIRES,30,0,2,pcs,,
MC-EN-001,ENTRAINEMENT,29,0,2,pcs,,
IN-TE-001,INDICATEUR DE TEMPERATURE,24,0,2,pcs,,
VA-VN-001,VANNERIE,24,0,2,pcs,,
CP-DT-001,DETECTEUR DE NIVEAU,23,0,2,pcs,,
PO-CE-002,POMPE CENTRIFUGE ALFA LAVAL,23,0,2,pcs,,
GN-CI-001,CIRCUIT PNEUMATIQUE,22,0,2,pcs,,
HY-AC-001,ACCUMULATEUR D'AZOTE,22,0,2,pcs,,
TR-NI-001,TRANSMETTEUR DE NIVEAU,22,0,2,pcs,,
GN-SP-001,SUPPORT,22,0,2,pcs,,
VA-MA-002,VANNE MANUELLE DE PURGE,21,0,2,pcs,,
GN-DE-001,DEBIMETRE,20,0,2,pcs,,
VA-PN-002,VANNE PNEUMATIQUE MULTI VOIES,20,0,2,pcs,,
PO-VI-001,POMPE A VIS NUE,20,0,2,pcs,,
UT-CO-001,UNITE DE CONDITIONNEMENT,19,0,2,pcs,,
PO-CE-003,POMPE CENTRIFUGE NUE,19,0,2,pcs,,
EL-GN-002,COMPOSANT ELECTRIQUE,19,0,2,pcs,,
HY-CV-001,CUVE,19,0,2,pcs,,
VA-PN-003,VANNE PNEUMATIQUE,18,0,2,pcs,,
TR-PR-002,TRANSMETTEUR DE PRESSION CERABAR M,18,0,2,pcs,,
GR-MO-001,GROUPE MOTO-REDUCTEUR,17,0,2,pcs,,
PO-VI-002,POMPE A VIDE,17,0,2,pcs,,
MC-TS-001,TRANSMISSION,16,0,2,pcs,,
CL-EC-001,ECHANGEUR DE CHALEUR,16,0,2,pcs,,
MO-ÉL-001,MOTEUR ÉLECTRIQUE,16,0,2,pcs,,
MC-VS-001,VIS,16,0,2,pcs,,
AU-AR-001,ARMOIRE ELECTRIQUE,15,0,2,pcs,,
VL-DS-001,DISTRIBUTEUR,15,0,2,pcs,,
GN-EJ-001,EJECTEUR FARDEAU,14,0,2,pcs,,
GN-TR-001,TREMIE & ELEVATEUR,13,0,2,pcs,,
GN-TR-002,TROISIEME ETAGE,13,0,2,pcs,,
GN-PR-001,PREMIER ETAGE,13,0,2,pcs,,
UT-DP-001,DISPOSITIF DE REGLAGE,13,0,2,pcs,,
GR-PO-001,GROUPE POMPE A HUILE,13,0,2,pcs,,
UT-EN-001,ENSEMBLE VERINS HYDRAULIQUE,13,0,2,pcs,,
GN-DE-002,DEUXIEME ETAGE,13,0,2,pcs,,
VA-PN-004,VANNE PNEUMATIQUE MULTIVOIES,13,0,2,pcs,,
VA-MA-003,VANNE MANUELLE A BOISSEAU DN 15,12,0,2,pcs,,
RE-NU-001,REDUCTEUR NU,12,0,2,pcs,,
PO-EN-001,POMPE A ENGRENAGE,12,0,2,pcs,,
GN-VA-001,VANNERIES,12,0,2,pcs,,
MC-BR-001,BRAS INTERCALAIRE,12,0,2,pcs,,
MO-HY-001,MOTEUR HYDRAULIQUE,12,0,2,pcs,,
VN-CE-001,VENTILATEUR CENTRIFUGE,12,0,2,pcs,,
CV-GN-001,CONVOYEURS PREFORMATEURS,12,0,2,pcs,,
VN-GN-001,VENTILATEURS,12,0,2,pcs,,
AU-PR-002,AUTOMATE PROGRAMMABLE REMPLISSEUSE,11,0,2,pcs,,
MC-VS-002,VIS DE PLASTIFICATION,11,0,2,pcs,,
GN-CA-001,CAMES DE COMMANDE,11,0,2,pcs,,
GN-TR-003,TRANSFERT PREFORMES,11,0,2,pcs,,
GN-TR-004,TRANSFERT BOUTEILLES,11,0,2,pcs,,
GN-BT-001,BATI,11,0,2,pcs,,
UT-PO-001,POSTE DE SOUFFLAGE,11,0,2,pcs,,
RB-BS-001,BASCULEUR,11,0,2,pcs,,
GR-GR-001,GROUPE DE GRAISSAGE CENTRALISÉ,11,0,2,pcs,,
GN-MO-001,MODULES DE CHAUFFES,11,0,2,pcs,,
MC-RL-001,RAIL D'ALIMENTATION,11,0,2,pcs,,
GN-TR-005,TRANSPORT FILM,10,0,2,pcs,,
PO-RE-001,POMPE DE REFROIDISSEMENT,10,0,2,pcs,,
PO-CE-004,POMPE CENTRIFUGE CPK NUE,10,0,2,pcs,,
MC-RO-001,ROUE DE SORTIE,10,0,2,pcs,,
GN-BT-002,BÂTI MACHINE,10,0,2,pcs,,
MC-CO-001,COURONNE ROTATIVE,10,0,2,pcs,,
HY-RV-001,RÉSERVOIR D'HUILE,10,0,2,pcs,,
GN-IN-001,INSTRUMENTATIONS,10,0,2,pcs,,
MO-EL-002,MOTEUR ELECTRIQUE  ELECTRIQUE,10,0,2,pcs,,
VA-PN-005,VANNE PNEUMATIQUE NO,10,0,2,pcs,,
VA-EV-002,ELECTROVANNE DE RECIRCULATION VERS LE 622 - FORMATION DE LA PRECOUCHE,10,0,2,pcs,,
GN-TO-001,TOUR DE REFROIDISSEMENT,10,0,2,pcs,,
GR-D'-001,GROUPE D'ETALONNAGE,10,0,2,pcs,,
GN-CA-002,CARTER DE PROTECTION,10,0,2,pcs,,
VA-EV-003,ELECTROVANNE DE VIDANGE COMPARTIMENT ECONOMISEUR E3,10,0,2,pcs,,
HY-VR-001,VÉRIN  DE FERMETURE,10,0,2,pcs,,
HY-VR-002,VÉRIN D'EJECTION,10,0,2,pcs,,
AU-PR-003,AUTOMATE PROGRAMMABLE PALETTISEUR,10,0,2,pcs,,
HY-AC-002,ACCUMULATEUR D'HUILE,10,0,2,pcs,,
UT-SY-001,SYSTEME HYDRAULIQUE,10,0,2,pcs,,
CV-AS-001,ASCENSEUR,9,0,2,pcs,,
GN-MO-002,MONTURE/SUPPORT/CADRE,9,0,2,pcs,,
AU-PR-004,AUTOMATE PROGRAMMABLE FARDELEUSE,9,0,2,pcs,,
PO-MU-001,POMPE MULTICELLULAIRE,9,0,2,pcs,,
HY-RV-002,RESERVOIR D'AIR,9,0,2,pcs,,
HY-CV-002,CUVE A FILTRES,9,0,2,pcs,,
PO-CE-005,POMPE CENTRIFUGE  ETANORM NUE,9,0,2,pcs,,
RB-PL-001,PLATEAU MOBILE,9,0,2,pcs,,
VN-GN-002,VENTILATEUR,9,0,2,pcs,,
GN-MA-001,MAGASIN INTERCALAIRE,9,0,2,pcs,,
CV-CH-001,CONVOYEUR A CHAINE,9,0,2,pcs,,
AG-GN-001,AGITATEUR,8,0,2,pcs,,
PO-CE-006,POMPE CENTRIFUGE  ETACHROM NUE,8,0,2,pcs,,
HY-CV-003,CUVE RACLEE,8,0,2,pcs,,
GN-LU-001,LUBRIFICATION,8,0,2,pcs,,
GN-TR-006,TRIANGLE ET PRESSEUR,8,0,2,pcs,,
EL-GN-003,COMPOSANTS ELECTRIQUES,8,0,2,pcs,,
RB-PL-002,PLATEAU DE DISTRIBUTION,8,0,2,pcs,,
MC-RL-002,ROULEAUX TRANSPORTEURS PALETTISEUR,8,0,2,pcs,,
EL-GN-004,COMPOSANTS ELECTRIQUES REMPLISSEUSE,8,0,2,pcs,,
EL-GN-005,COMPOSANTS ELECTRIQUES PALETTISEUR,8,0,2,pcs,,
UT-DP-002,DISPOSITIF D'ENTRAINEMENT,8,0,2,pcs,,
CV-TR-001,TRANSPORTEUR,8,0,2,pcs,,
GN-BA-001,BARRIERES DE SECURITE PALETTISEUR,8,0,2,pcs,,
VL-GN-001,SOUPAPE,8,0,2,pcs,,
MC-MJ-001,MACHOIRE AVANT,8,0,2,pcs,,
VA-MA-004,VANNE MANUELLE DE REMPLISSAGE,8,0,2,pcs,,
GN-TB-001,TABLE ELEVATRICE,8,0,2,pcs,,
MC-MJ-002,MACHOIRE ARRIERE,8,0,2,pcs,,
MO-MP-001,MOTOPOMPE,8,0,2,pcs,,
GN-MA-002,MAGASIN ETIQUETTES,8,0,2,pcs,,
CV-SO-001,CONVOYEUR DE SORTIE,8,0,2,pcs,,
UT-SY-002,SYSTEME DE LUBRIFICATION,8,0,2,pcs,,
MO-MT-001,MOTORISATION,8,0,2,pcs,,
GN-CO-001,COUPE FILM,8,0,2,pcs,,
GN-TR-007,TRANSFORMATEUR,8,0,2,pcs,,
CO-GN-001,COMPRESSEUR,8,0,2,pcs,,
MC-PC-001,PINCE RETENUE FILM,7,0,2,pcs,,
AU-PR-005,AUTOMATE PROGRAMMABLE BANDEROLEUSE,7,0,2,pcs,,
VA-MO-001,VANNE MOTORISEE,7,0,2,pcs,,
GR-ET-001,GROUPE ETIRAGE FILM,7,0,2,pcs,,
CV-BD-001,BANDE TRANSPORTEUSE N°3,7,0,2,pcs,,
UT-DP-003,DISPOSITIF DE SOUDAGE,7,0,2,pcs,,
CV-BD-002,BANDE TRANSPORTEUSE N°2,7,0,2,pcs,,
MO-MP-002,MOTO-POMPE,7,0,2,pcs,,
CV-BD-003,BANDE TRANSPORTEUSE N°1,7,0,2,pcs,,
GR-RO-001,GROUPE DE ROTATION ETIQUETTEUSE,7,0,2,pcs,,
MC-VS-003,VIS SANS FIN REMPLISSEUSE,7,0,2,pcs,,
GN-SC-003,SECTION TRANSFERT,7,0,2,pcs,,
GN-EN-001,ENTREE MACHINE,7,0,2,pcs,,
MC-RL-003,RAIL,7,0,2,pcs,,
VN-GN-003,VENTILATION,7,0,2,pcs,,
UT-DP-004,DISPOSITIF D'INTRODUCTION TRACE 3+4,7,0,2,pcs,,
MC-AX-001,AXE ROBOT,7,0,2,pcs,,
CV-BD-004,BANDE TRANSPORTEUSE N°4,7,0,2,pcs,,
GN-BA-002,BARRE DE SOUDAGE INFÉRIEUR,7,0,2,pcs,,
UT-DP-005,DISPOSITIF DE SERRAGE FARDEAU,7,0,2,pcs,,
GN-PO-001,PORTE BOBINE INFÉRIEUR,7,0,2,pcs,,
UT-SY-003,SYSTEME D'ASPIRATION,7,0,2,pcs,,
GN-PO-002,PORTE BOBINE SUPÉRIEUR,7,0,2,pcs,,
GR-DI-002,GROUPE DISTRIBUTEUR,7,0,2,pcs,,
MO-PO-001,MOTEUR DU POMPE A VIDE,7,0,2,pcs,,
GN-CO-002,CONDUITES HUILE FINIE,7,0,2,pcs,,
GN-RE-001,REFROIDISSEMENT FOUR,7,0,2,pcs,,
UT-DP-006,DISPOSITIF D'INTRODUCTION TRACE 1+2,7,0,2,pcs,,
CV-PS-001,POUSSEUR TRANSVERSAL FARDEAUX,7,0,2,pcs,,
CV-PS-002,POUSSEUR TRANSVERSAL PAQUETS,7,0,2,pcs,,
CV-PS-003,POUSSEUR TRANSVERSAL VOIE 1,7,0,2,pcs,,
CV-PS-004,POUSSEUR TRANSVERSAL VOIE 2,7,0,2,pcs,,
CV-PS-005,POUSSEUR TRANSVERSAL VOIE 3,7,0,2,pcs,,
CV-PS-006,POUSSEUR TRANSVERSAL VOIE 4,7,0,2,pcs,,
GN-RI-001,RIPEURS PAQUETS VOIE 1,7,0,2,pcs,,
CV-D'-001,CONVOYEUR D'ENTREE,7,0,2,pcs,,
UT-DP-007,DISPOSITIF D'ENTRAINEMENT FILM HAUT,7,0,2,pcs,,
GN-RI-002,RIPEURS PAQUETS,7,0,2,pcs,,
GN-CO-003,COIFFE,7,0,2,pcs,,
RB-OR-001,ORIENTEUR & DEMELEUR,7,0,2,pcs,,
UT-DP-008,DISPOSITIF D'ENTRAINEMENT FILM BAS,7,0,2,pcs,,
RB-PL-003,PLATEAU DISTRIBUTEUR,7,0,2,pcs,,
GN-RI-003,RIPEURS PAQUETS VOIE 3,7,0,2,pcs,,
GN-RI-004,RIPEURS PAQUETS VOIE 4,7,0,2,pcs,,
UT-DP-009,DISPOSITIF D'ENTRAINEMENT DE LA BARRE DE SOUDAGE,7,0,2,pcs,,
MC-RO-002,ROUE ENTREE / SORTIE REMPLISSEUSE,7,0,2,pcs,,
GN-RO-001,ROTATION BANDEROLEUSE,7,0,2,pcs,,
MC-RO-003,ROUE DE CHARGEMENT PREFORMES,7,0,2,pcs,,
GN-RI-005,RIPEURS PAQUETS VOIE 2,7,0,2,pcs,,
UT-SY-004,SYSTÈME DE CHAUFFAGE D'AIR,7,0,2,pcs,,
MC-MK-001,MECANISME REGLAGE HAUTEUR CUVE,7,0,2,pcs,,
GN-SO-001,SOUDEUSE FILM BANDEROLEUSE,7,0,2,pcs,,
AU-AR-002,ARMOIRE PNEUMATIQUE,7,0,2,pcs,,
VA-EV-004,ELECTROVANNE D'ARRIVEE PRODUIT,7,0,2,pcs,,
EL-GN-006,COMPOSANTS ELECTRIQUES BANDEROLEUSE,7,0,2,pcs,,
MC-CH-001,CHAINE DE TOURNETTES,7,0,2,pcs,,
UT-SY-005,SYSTEME DE ROTATION,7,0,2,pcs,,
HY-CV-004,CUVE REMPLISSEUSE,7,0,2,pcs,,
MC-VS-004,VIS SANS FIN ETIQUETTEUSE,7,0,2,pcs,,
GN-BA-003,BARRE DE SOUDAGE SUPÉRIEUR,7,0,2,pcs,,
CL-GN-003,CLIMATISEUR,7,0,2,pcs,,
GN-TT-001,TETE DE MAINTIEN,7,0,2,pcs,,
CV-PS-007,POUSSEUR,7,0,2,pcs,,
MC-RL-004,ROULEAUX TRANSPORTEURS BANDEROLEUSE,7,0,2,pcs,,
GN-BA-004,BARRIERES,7,0,2,pcs,,
UT-IN-001,UNITE INJECTION,7,0,2,pcs,,
GN-BA-005,BARRIERES DE SECURITE BANDEROLEUSE,7,0,2,pcs,,
CV-CH-002,CHARIOT MONTEE DESCENTE,7,0,2,pcs,,
CV-PS-008,POUSSEUR PALETTISEUR,7,0,2,pcs,,
GN-FO-001,FOURREAU (SECTION PLASTIFICATION),7,0,2,pcs,,
GN-EQ-001,EQUIPEMENT A SUPPRIMER,6,0,2,pcs,,
AU-PR-006,AUTOMATE PROGRAMMABLE SBO,6,0,2,pcs,,
GN-EN-002,ENTRAINNEMENT TUNNEL,6,0,2,pcs,,
VA-PA-002,VANNE A PAPILLON INOX DOUBLE EXCENTRATION DE REGULATION PNEU. SE & POSIT.,6,0,2,pcs,,
GN-DE-003,DESHUMEDIFICATEUR MOULE,6,0,2,pcs,,
UT-EN-002,ENSEMBLE GENERATEUR DE VIDE,6,0,2,pcs,,
UT-EX-001,UNITE D EXTRACTION,6,0,2,pcs,,
MO-L'-001,MOTEUR DE L'ASCENSEUR,6,0,2,pcs,,
GN-BA-006,BARRIERES IMMATERIELLES,6,0,2,pcs,,
UT-AL-001,UNITE D ALIMENTATION,6,0,2,pcs,,
MO-RO-001,MOTEUR DE ROULEAUX DE L'ASCENSEUR,6,0,2,pcs,,
GN-TR-008,TREMIE ENTREE RESINE,6,0,2,pcs,,
UT-SO-001,UNITE SOUFFLAGE,6,0,2,pcs,,
MC-TS-002,TRANSMISSIONS FARDELEUSE,6,0,2,pcs,,
PO-GN-002,POMPE,6,0,2,pcs,,
GR-CO-001,GROUPE COUPE & INJECTION FILM,6,0,2,pcs,,
