system_equipment,equipment_description,equipment_code,equipment_level,parent_code,parent_level,type_travail,action_entity,date_declaration,date_fin,date_creation,cout_total,source
B8638T0038,Refroidisseurs CTA 1/2 TRANE-FIORINI,B8638T0038-CIREAU,2,B8638T0038,1.0,CORR,LLK,2023-01-01,2023-01-01,2023-01-02,137.4,2023_CORRECTIF
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,B7214T0007-TRANSF-TP,3,B7214T0007-TRANSF,2.0,CORR,LLK,2023-01-01,2023-01-01,2023-01-01,382.4166666666667,2023_CORRECTIF
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,B7214T0007-FOURIR-CT,3,B7214T0007-FOURIR,2.0,CORR,LLK,2023-01-01,2023-01-01,2023-01-01,144.0,2023_CORRECTIF
LLK-AC-2350B,Compresseur 40 bars TEMPO 2350 B,LLK-AC-2350B-ETACOM,2,LLK-AC-2350B,1.0,CORR,LLK,2023-01-01,2023-01-01,2023-01-02,1160.5,2023_CORRECTIF
B7210T8004,LAVEUSE BOUTEILLES(SDA),B7210T8004,1,,,CORR,ELKS_UAP1,2023-01-02,2023-06-01,2023-01-02,272.4671267386583,2023_CORRECTIF
B7252T0021,ETIQUETEUSE OPERA 300 SACMI,B7252T0021-GRETIQ,2,B7252T0021,1.0,CORR,LLK,2023-01-02,2023-04-08,2023-01-03,191215.5484167374,2023_CORRECTIF
B8654T0011,Armoire Climatisation CIAT 01,B8654T0011,1,,,CORR,LLK,2023-01-02,2023-01-03,2023-01-05,205020.24825899646,2023_CORRECTIF
LLK-AC-2350A,Compresseur 40 bars TEMPO 2350 A,LLK-AC-2350A-ETACOM,2,LLK-AC-2350A,1.0,CORR,LLK,2023-01-02,2023-01-02,2023-01-03,343.5,2023_CORRECTIF
B7214T0008,SOUFFLEUSE SBO 20 SIDEL,B7214T0008-RS-PS-14,4,B7214T0008-RS-PS,3.0,CORR,LLK,2023-01-03,2023-04-08,2023-01-03,0.0,2023_CORRECTIF
B7214T0013,SOUFFLEUSE,B7214T0013,1,,,CORR,ELKS_UAP2,2023-01-03,2023-06-01,2023-01-03,899.2942696068839,2023_CORRECTIF
